title,description,cuisine,course,prep,cook,serves,taste,difficulty,diet_tags,ingredients,method,adaptations,source
"Miso Chilli Roasted Tofu, Broccoli & Cashews (No Onion/Garlic)","Easy sheet-pan dinner: tofu, broccoli and cashews roasted in an umami-rich sesame, ginger and miso marinade. Adapted egg-free vegan style without onion or garlic; hing stands in for allium depth. Serve over noodles, steamed vegetables or a crunchy cabbage salad.",Fusion,Main Course,15 minutes,25-30 minutes,4,Umami & Spicy,Easy,vegan; vegetarian; egg-free,"400 g firm tofu, pressed and cubed | 1 large head broccoli, cut into florets | 75 g raw cashews | 2 tablespoons white or chickpea miso paste | 2 tablespoons tamari or soy sauce | 1 tablespoon toasted sesame oil | 1 tablespoon neutral oil | 1 tablespoon maple syrup | 1 tablespoon rice vinegar | 1 tablespoon grated fresh ginger | 1-2 teaspoons chilli flakes or chilli paste, to taste | 1 pinch hing (asafoetida) | 1 tablespoon sesame seeds (optional) | Fresh mint or coriander leaves, to finish (optional)","1. Heat the oven to 200°C / 400°F. Line a large baking tray. | 2. Warm the neutral oil briefly, bloom the hing in it for a few seconds, then whisk with miso, tamari, sesame oil, maple syrup, rice vinegar, ginger and chilli until smooth. | 3. Toss the tofu cubes in half the marinade and spread on the tray. | 4. Toss broccoli and cashews with the remaining marinade and arrange around the tofu in a single layer. | 5. Roast 25-30 minutes, turning once, until the tofu is golden at the edges and the broccoli is tender with charred tips. | 6. Scatter sesame seeds and herbs if using, and serve hot.",Reconstructed from Botanical Kitchen public recipe description (member-only full amounts were not publicly readable). Kept vegan and egg-free; no onion or garlic; hing (asafoetida) added for allium-free savoury depth.,https://www.botanicalkitchen.com/recipes/miso-chill-roasted-tofu-broccoli-cashews/
Aam Papad Challi,"A zesty fusion of tangy aam papad and crunchy nuts, delivering a burst of sweet and sour flavors in every delightful bite.",Indian  Course:,Snacks and Starters,0-5 minutes,11-15 minutes,4,Sweet & Sour,Easy,vegetarian; egg-free; lacto-vegetarian,Few pieces regular aam papad Few pieces kala aam papad | 1 corn on cob Oil for drizzling Butter for brushing | 1 teaspoon chaat masala + for sprinkling | 2 tablespoons lemon juice,"1. Peel corn on cob and roast directly on high flame. | 2. Heat a non-stick grill pan. | 3. Cut roasted corn on cob into 3 portions, halve and place on the hot pan. | 4. Drizzle some oil and toss well. | 5. Brush the corn pieces with some butter, add red chilli powder, black salt, chaat masala and lemon juice. | 6. Top with regular and kala aam papad pieces and cook till soft. | 7. Transfer into a serving bowl, sprinkle chaat masala and serve immediately.",Egg-free.,vegetarian-recipes.txt
Almond Milk Smoothie,"Enriched with almonds and garnished with sabza and blueberries, this smoothie is a power house of essential nutrients.",Fusion  Course:,Beverages,6-7 hour,0-5 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup almonds, soaked overnight and drained | 2 medium ripe banana | 1 cup fresh blueberries + for garnish | 1 teaspoon vanilla essence | 3 tablespoons honey Fresh mint sprigs for garnish | 2 tbsps basil seeds (sabza), soaked","1. Put soaked almonds in a grinder jar, add 2 cups warm water and grind till mixture is smooth. | 2. Line a strainer kept on a bowl with muslin cloth, pour the ground almond mixture into it and strain the almond milk into the bowl. | 3. Grind the residue again with 1 cup warm water to get more almond milk and strain this into the same bowl. | 4. Peel the bananas, break into half and put in the grinder jar. | 5. Add blueberries, vanilla essence, honey, almond milk and grind to a smooth mixture. | 6. Skew blueberries and a mint sprig on each skewer. | 7. Put some basil seeds in each serving glass and pour the smoothie over them. | 8. Place one skewer on each glass and serve immediately.",Egg-free.,vegetarian-recipes.txt
Almond Phirni,"This recipe is specially for those who are intolerant to lactose, so almond milk is used instead of milk",Indian  Course:,Mithais,1-1.30 hour,26-30 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"3 cups Almond milk | 4 tablespoons Rice, soaked for | 0 minutes and drained a large pi to garnish Saffron 1/ | 2 teaspoon Green cardamom powder 3/ | 4 cup Jaggery, chopped 1/ | 2 tablespoon Rose water to garnish Blanched pistachios, slivered","1. Heat almond milk in a deep non-stick pan and let it come to a boil. | 2. Reduce heat and let it simmer for 8-10 minutes. | 3. Put rice in a blender jar, add ¼ cup water and blend to a coarse paste. | 4. Add this paste to almond milk and mix well. | 5. Add a large pinch of saffron and mix well and cook till the rice is cooked and the mixture thickens. | 6. Add green cardamom powder and mix well. | 7. Cook on low heat for 3-4 minutes, stirring constantly. | 8. Add jaggery and mix well. | 9. Cook till the jaggery is completely dissolved. | 10. Add rose water and mix well. | 11. Take the pan off the heat. | 12. Pour phirni into individual earthen bowls, sprinkle pistachio slivers on top and garnish with a few strands of saffron and serve chilled.",Egg-free.,vegetarian-recipes.txt
Aloo Muri,"Satisfy your snack cravings with 'Aloo Muri', a beloved street-side delight from Meghalaya. This irresistible recipe features crispy puffed rice, spiced mashed potatoes, a special homemade masala...",Meghalaya  Course:,Snacks and Starters,,6-8 minutes,4,Tangy,,vegan; vegetarian; egg-free,"3 medium potatoes (aloo), boiled and peeled | 4 cups puffed rice (muri) | 2 tablespoons coriander seeds | 1 tablespoon cumin seeds | 1 pinch hing (asafoetida) | 2 green chillies, chopped | 3 tablespoons mustard oil 2- | 3 tablespoons chopped fresh coriander leaves + to sprinkle ¼ cup aloo bhujiya + to sprinkle ½ lemon","1. Heat a nonstick pan. | 2. Add coriander seeds, cumin seeds and sauté for 2-3 minutes, then add a pinch of hing. | 3. Transfer in a mortar and crush to fine powder with a mortar. | 4. Take a bowl, cut the potatoes into medium sized pieces and add to the bowl. | 5. Add green chillies, puffed rice, 2-3 tbsps ground spice mix, tamarind water, mustard oil and mix well. | 6. Add coriander and aloo bhujiya and mix well. | 7. Squeeze lemon and mix. | 8. Transfer in serving bowls, sprinkle coriander, aloo bhujiya and serve immediately.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Anjeer and Boondi Pancakes,"A delectable fusion of traditional Indian flavors, featuring sweet figs and crunchy boondi, wrapped in a fluffy pancake for a delightful breakfast treat.",Fusion  Course:,Snacks and Starters,41-50 minutes,51-60 minutes,4,Sweet,Moderate,vegetarian; egg-free; lacto-vegetarian,"0 dried figs, soaked and chopped ¼ cup sweet boondi | 2 cups refined flour (maida) ½ teaspoon baking soda ¼ teaspoon vanilla essence 1¾ cups milk | 2 tablespoons chopped jaggery 15- | 0 walnuts Butter for shallow frying | 8 whole dried figs, soaked Rabri for garnish","1. Take refined flour in a bowl, add baking soda and vanilla essence. | 2. Heat 1½ cups milk in a deep non-stick pan stirring continuously till the milk comes to a boil. | 3. Add jaggery, switch off heat and mix well till jaggery melts. | 4. Pour the milk mixture into the refined flour mixture. | 5. Add chopped figs, boondi and remaining milk. | 6. Add little water and mix well to make a medium thick and smooth batter. | 7. Chop and add walnuts and mix well. | 8. Set aside to rest for 10 minutes. | 9. Heat butter in a non-stick tawa, pour a ladle of batter and spread into a medium sized pancake. | 10. Place a whole fig in centre of and cook on medium heat for 2-3 minutes, turnover and cook on other side till golden brown on both sides. | 11. Transfer onto a serving plate and garnish with rabri. | 12. Serve immediately.",Egg-free.,vegetarian-recipes.txt
Anjeer aur Khajur Milkshake,"Healthy and delicious Milkshake made using Anjeer aur Khajur is absolutely easy to make. Especially during hot summer, a glass full of this milkshake gives an instant boost of energy.",Fusion  Course:,Beverages,,0 minutes,4,Sweet,,vegetarian; egg-free; lacto-vegetarian,10- | 5 dried figs 10- | 5 dates | 2 cups milk 2- | 3 tablespoons honey Fusion Omega Boost Trail Mix to sprinkle,"1. Take Zahidi Whole Natural Dates in a bowl and deseed. | 2. Add sufficient water and soak for 6-8 hours. | 3. Take Select Figs in a bowl and deseed. | 4. Add sufficient water and soak for 6-8 hours. | 5. Drain the water from dates and figs and transfer in a blender jar. | 6. Add milk, honey and blend to fine mixture. | 7. Transfer in individual glasses and sprinkle Fusion Omega Boost Trail Mix on top.",Egg-free.,vegetarian-recipes.txt
Anjeer Toffee,A healthy sweet made without the addition of sugar – ideal for growing children,Indian  Course:,Mithais,3.30-4 hour,26-30 minutes,4,Sweet,Moderate,vegetarian; egg-free; lacto-vegetarian,"5 Dried figs (anjeer), soaked for 2- | 3 hours and drained | 1 tbsp + for greasing Ghee | 1 cup Seedless dates (khajur), chopped 4- | 5 Walnuts | 2 tablespoons Cashewnuts, chopped | 2 tablespoons Pistachios, chopped | 2 tablespoons Almonds, chopped 1/ | 2 cup Gum resin (gond), fried","1. Put the figs in a grinder jar, add a little water and grind to fine paste. | 2. Heat ghee in a deep non-stick pan and add fig paste and sauté on medium heat for 3-4 minutes. | 3. Add dates, mix well and cook for 10-15 minutes or till excess moisture dries up. | 4. Chop walnuts and add to the pan along with cashewnuts, pistachios and almonds. | 5. Mix well and cook till mixture begins to leave the sides of the pan. | 6. Add gond and mix well. | 7. Cook for 3-4 minutes on medium heat. | 8. Set aside in a bowl and allow to cool. | 9. Refrigerate for 30 minutes. | 10. Grease your palms with ghee and shape the mixture into oblong or any other desired shape. | 11. Take strips of parchment paper and place a toffee on each paper and roll them. | 12. Take coloured toffee sheets and roll the toffees again. | 13. Store the toffees in a glass jar or serve.",Egg-free.,vegetarian-recipes.txt
Arugula and Apple Salad,"A peppery, distinctive-tasting green combined with apple slices and dressed with some sauces for a vibrant blend of flavors and textures — arugula and Apple Salad.",Fusion  Course:,Salads,,0 minutes,4,Mild,,vegetarian; egg-free; lacto-vegetarian,0 grams arugula leaves | 1 red apple | 1 green apple | 1 English cucumber 1½ teaspoons mustard paste | 1 lemon | 1 ½ tablespoons honey,"1. Cut red and green apple into quarters. | 2. Deseed and slice. | 3. Halve and slice English cucumber. | 4. Take ice cold water in a bowl. | 5. Add arugula leaves and set aside for 10-15 minutes. | 6. Transfer in a salad rinser and drain excess water. | 7. Take mustard paste in a glass jar. | 8. Squeeze lemon, add honey, extra virgin olive oil, crushed black peppercorns and salt. | 9. Close the lid and shake well. | 10. Take cucumber in a bowl. | 11. Add green apple and red apple. | 12. Reserve some dressing and drizzle prepared dressing and mix well. | 13. Arrange some arugula leaves on a serving plate. | 14. Add some apple mixture on top. | 15. Sprinkle pecans and dried cranberries on top. | 16. Arrange remaining arugula leaves and apple mixture on top. | 17. Sprinkle some more pecans and dried cranberries on top. | 18. Drizzle remaining dressing and serve.",Egg-free.,vegetarian-recipes.txt
Avocado Toast,"Toasted sourdough topped with avocado, cream cheese, and mixed seeds.",Fusion  Course:,Snacks and Starters,,0-5 minutes,4,Mild,,vegetarian; egg-free; lacto-vegetarian,2 avocados ½ sourdough bread loaf | 4 tablespoons mixed seeds Micro greens for garnish Extra virgin olive oil for drizzling | 1 pinch hing (asafoetida),"1. Cut the sourdough bread loaf into thick slices. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Heat a cast iron pan. | 4. Add butter and let it melt. | 5. Place the sourdough slices on the pan and toast on both sides on low heat till golden and crisp. | 6. Take slices off the heat and arrange on a worktop. | 7. Cut the avocados in half, remove the seed, peel, and cut each half of the avocados into thin slices. | 8. Apply some cream cheese over one side of the toasted bread slices. | 9. Arrange the avocado slices over them and sprinkle crushed black peppercorns and salt. | 10. Garnish with pickled rings. | 11. Sprinkle mixed seeds, garnish with micro greens, and drizzle extra virgin olive oil. | 12. Serve immediately.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Babycorn Paneer Drumsticks,"A savory symphony of textures and flavors, marrying the tender crunch of babycorn wrapped with creamy paneer and potato mixture, all rolled into one delicious bite.",Fusion  Course:,Snacks and Starters,21-25 minutes,6-10 minutes,4,Spicy,Moderate,vegetarian; egg-free; lacto-vegetarian,"1 pinch hing (asafoetida) | 0 baby corns | 1 cup grated cottage cheese (paneer) | 2 medium potatoes, boiled, peeled and grated | 1 small carrot, finely chopped | 1 tablespoon chopped ginger | 3 green chillies, chopped | 1 teaspoon red chilli powder | 1 teaspoon garam masala powder | 1 tablespoon refined flour (maida) | 1 tablespoon +","1. Take paneer in a bowl, add potatoes, carrot, ginger, green chillies, red chilli powder, garam masala powder, red chilli sauce and soy sauce and mix well. | 2. Add refined flour, 1 tablespoon cornflour and salt and mix well. | 3. Cover ¾ of each baby corn with the mixture to form drumsticks. | 4. Transfer in plate and add ½ cup cornflour and coat well. | 5. Heat sufficient oil in a kadai, slide in the baby corn drumsticks and deep fry on low heat till golden and crisp, then add a pinch of hing. | 6. Drain on absorbent paper. | 7. Sprinkle chaat masala. | 8. Arrange them on a serving platter, sprinkle some more chaat masala, garnish with red cherry tomatoes and flower. | 9. Serve hot with red chilli sauce.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
